Company,Website,Stage,Location (for search),Country/State (for display on card),Category,One-liner
Ancana,ancana.co,Seed,North America,Mexico,Housing,Discover the benefits of co-ownership
Andi,andisearch.com,Seed,North America,Florida ,Workplace,Search for the next generation
Anfin,anfin.vn,Seed,Asia,Vietnam,Financial Services,"Investing in securities from only 10,000 VND"
AppX,appx.co.in,Seed,Asia,India,Workplace,Empowering creators with mobile apps
Argo Short Films,watchargo.com,Seed,North America,California,Entertainment & Social,A showcase of the best short films in the world
Artifact,heyartifact.com,Seed,North America,California,Entertainment & Social,We capture family stories 
Astro,astronauts.id,Seed,Asia,Indonesia,Retail,Groceries in 15 mins
Atmana,atmana.org,Seed,Asia,India,Healthcare,Helping 15-30 year olds control tech addictions
Autumn,getautumn.com,Seed,North America,Canada,Healthcare,Preventing burnout in a few simple steps
Avocademy,avocademy.com,Seed,North America,Florida,Education,Affordable and personalized UX/UI design program
Azuki,azuki.co,Seed,North America,California,Entertainment & Social,Read officially licensed digital manga online
Baubap,baubap.com,Seed,North America,Mexico,Financial Services,Instant loans with no credit check or paperwork
beaubble,beaubble.com,Seed,North America,California,Retail,Community-driven beauty
Bemlo,bemlo.se,Seed,Europe,Sweden,Workplace,Find the best staffing company in healthcare
Bentocart,bentocart.com,Seed,North America,California,Retail,"Order once, eat all week"
Better Opinions,betteropinions.in,Seed,Asia,India,Financial Services,Show off your inner trading skills
beU delivery,beudelivery.com,Seed,Africa,Ethiopia,Retail,Food delivery for everyone
Big Whale Labs,bigwhalelabs.com,Seed,North America,Canada,Financial Services,We're building the future
Billdr,billdr.co,Seed,North America,Canada,Retail,Renovate your home with confidence
Bimaplan,bimaplan.co,Seed,Asia,India,Financial Services,Essential financial protection after an accident
bipi,bipi.id,Seed,Asia,Indonesia,Financial Services,Barcode scanner on your cell phone
Block Party,blockpartyapp.com,Seed,North America,California ,Entertainment & Social,"Bye-bye, Twitter trolls"
Blocknom,blocknom.com,Seed,Asia,Indonesia,Financial Services,Crypto earning platform
Bloom,withbloom.com,Seed,Europe,United Kingdom,Financial Services,Your wallet’s new superpower
Bluejay,bluejay.games,Seed,North America,Texas,Entertainment & Social,Use NFTs to create characters
Boardcave,boardcave.com,Seed,North America,Delaware,Retail,The surfer's store
Boo,boo.world,Seed,North America,New York,Entertainment & Social,"Make friends, find love"
Botin,botin.app,Seed,North America,Costa Rica,Financial Services,"Investing in stocks and crypto, made easy"
Brandazine,brandazine.com,Seed,Asia,South Korea,Workplace,Exclusive fashion streaming service for creators
Breach,breachinsured.com,Seed,North America,Georgia,Financial Services,We take on the risk of exchange hacks
Breakaway,breakaway.app,Seed,North America,California,Healthcare,You're stronger than you think
Breakthru,joinbreakthru.com,Seed,North America,New York ,Workplace,Changing the way companies connect with youth
Bring Me That,bringmethat.com,Seed,North America,New York ,Retail,Order food online from restaurants near you
Broad,broad.app,Seed,Europe,United Kingdom,Financial Services,The account and card that connect you to the world
Bueno Finance,buenofinanceinc.com,Seed,Asia,India,Financial Services,Neobank for the blue collared
buildspace,buildspace.so,Seed,North America,California,Financial Services,Home to the world's best Web3 builders
Bundil,enjoybundil.com,Seed,North America,Texas,Financial Services,Crypto investing made simple
Byrdhouse,byrdhouseapp.com,Seed,North America,California ,Entertainment & Social,Video chat with AI-powered real-time translation
ByteLearn,bytelearn.com,Seed,North America,California,Education,"Differentiated, free, step-by-step math help"
Camlist,camlist.com,Seed,Europe,United Kingdom,Retail,The safest way to find your dream pet
Captain Experiences,captainexperiences.com,Seed,North America,Texas,Transportation,Damn good fishing guides
Cash Flow Portal,cashflowportal.com,Seed,North America,Washington,Housing,Real-estate syndication software
CashBook,cashbookapp.in,Seed,Asia,India,Financial Services,Cash management app for business growth
Catalog,catalog.lu,Seed,North America,California,Entertainment & Social,Support your favorite creator
Ceresa,ceresa.com,Seed,North America,Texas,Education,Setting a new standard for leadership development
Cheese,earncheese.com,Seed,North America,California,Financial Services,Banking that rewards you
Clash,clashapp.co,Seed,North America,California,Entertainment & Social,Doing what you love just got easier
Clearing,clearing.com,Seed,North America,New York,Healthcare,Powerful pain relief made easy
Clupp,clupp.com.mx,Seed,North America,Mexico,Financial Services,Cheap insurance for low risk drivers
Commit,commit.dev,Seed,North America,Canada,Workplace,The professional network for startup engineers
Comun,comun.app,Seed,North America,California,Financial Services,Banking with confidence and no hidden charges
CoverRight,coverright.com,Seed,North America,New York,Financial Services,Easily find a Medicare plan with expert support
Crafted,cookwithcrafted.com,Seed,North America,New York ,Entertainment & Social,The live cooking community
Crew,joinacrew.com,Seed,North America,Washington,Education,Design a career you love
CyberConnect,cyberconnect.me,Seed,North America,California ,Financial Services,Connect everyone on Web3
CypherdWallet,cypherd.io,Seed,North America,Washington,Financial Services,A multi-chain wallet for everyone
Deall,usedeall.com,Seed,Asia,Indonesia,Education,Your dream career portal
Defy,defy.club,Seed,Asia,India,Financial Services,India’s first crypto club
Delfina,delfina.com,Seed,North America,California,Healthcare,Creating intelligent pregnancy for all
DigsConnect,digsconnect.com,Seed,Africa,South Africa,Housing,Student and young adult housing
Dime,dime.io,Seed,North America,California ,Financial Services,"NFTs, but for normal people"
Discotech,discotech.me,Seed,North America,California,Entertainment & Social,The #1 nightlife app
Discz,disczmusic.com,Seed,North America,New York,Entertainment & Social,Discover new music
DIVE Studios,divestudios.io,Seed,North America,California,Entertainment & Social,Audio that positively impacts culture and society
Docosan,docosan.com,Seed,Asia,Vietnam,Healthcare,International standard healthcare in your hand
DocVita,docvita.in,Seed,Asia,India,Healthcare,Speak with top doctors & therapists online
Dongnae,dongnae.com,Seed,Asia,South Korea,Housing,Live your best life in Korea with Dongnae
Dopple,thedopple.com,Seed,North America,California,Retail,The worst kept secret in kidswear
Dr. Now,drnow.co.kr,Seed,Asia,South Korea,Healthcare,"Accurate treatment anytime, anywhere"
Dreamworld,playdreamworld.com,Seed,North America,California,Entertainment & Social,The infinite open world creative MMO
Durrioo+,my.duriooplus.com,Seed,Asia,Malaysia,Entertainment & Social,Invest in your child's future
Early Sloth,earlysloth.com,Seed,Asia,South Korea,Workplace,AI-based surveys
earnJarvis,earnjarvis.com,Seed,North America,California,Financial Services,Easy access to the crypto economy
Eastern Standard Times,easternstandardtimes.com,Seed,North America,California,Entertainment & Social,The voice of Asia's youth
Ender,joinender.com,Seed,North America,Texas,Financial Services,Win cash for making cool Minecraft builds
EQL Finance,eqlfinance.com,Seed,North America,Washington D.C.,Financial Services,Small loans for big moments
EthSign,ethsign.xyz,Seed,Asia,Singapore,Workplace,Bring trust to trustless networks
Examedi,examedi.com,Seed,South America,Chile,Healthcare,Uber for healthcare in Latin America
Factor,factor.fyi,Seed,North America,California,Financial Services,"Explore finance, crypto, & macro data in new ways"
Famosos,famosos.com,Seed,North America,Florida,Retail,LatAm's leading celebrity engagement platform
Fanluv,fanluv.app,Seed,North America,California,Entertainment & Social,A social network that lets users monetize content
FastFarma,fastfarma.com,Seed,South America,Ecuador,Retail,One-stop-shop for real estate in LatAm
Fave,faveforfans.com,Seed,Europe,Switzerland,Entertainment & Social,It finally pays off to be a fan
Fig: Food Is Good,foodisgood.com,Seed,North America,New York ,Retail,Your unique food fingerprint
Financial Choice,financialchoice.com,Seed,North America,Washington,Financial Services,Investment accounts linked to a checking account
Finch,finchmoney.com,Seed,North America,Massachusetts,Financial Services,Invest & build credit as you spend
Fingo Africa,fingo.africa,Seed,Africa,Kenya,Financial Services,"Youth, focused, pan-African digital bank"
Finku,finku.id,Seed,Asia,Indonesia,Financial Services,Save more & be financially smarter
Finnt,finnt.com,Seed,North America,Florida,Financial Services,A crypto savings account for your family
Fireside,firesidechat.com,Seed,North America,California,Entertainment & Social,Your stage in every world
FishyHub,fishyhub.com,Seed,Asia,Singapore,Retail,Dream your next tank adventure
Fithub,fithub.com.co,Seed,South America,Colombia,Retail,The one-stop shop for healthy products
FitHub ,fithub.id,Seed,Asia,Indonesia,Healthcare,Most affordable gym and fitness studio
Fitia,fitia.app,Seed,South America,Peru,Healthcare,Lose or gain weight with a smart diet
Fleek,getfleek.app,Seed,Asia,India,Financial Services,Discover buy & manage subscriptions all in one app
Float Health,float.health,Seed,North America,California ,Healthcare,Bring a nurse to your home when you’re sick
Flowly,flowly.world,Seed,North America,California,Healthcare,Take back control of your nervous system
Foody,joinfoody.com,Seed,North America,California,Retail,A recipe marketplace for culinary creators
Fractional,fractional.app,Seed,North America,California,Housing,Fractional ownership of investment properties
Frich,getfrich.com,Seed,North America,New York,Financial Services,If your responsible friend was a finance app
Friends With Benefits,fwb.help,Seed,North America,California,Financial Services,Social DAO
Fringe,fringe.market,Seed,North America,California,Financial Services,Fringe turns fans into partners
FrontPage,front.page,Seed,Asia,India,Financial Services,A place to connect with other investors
FullCircle,teamfullcircle.org,Seed,North America,Georgia,Entertainment & Social,Helping Gen Z manage stress
FunctionUp,functionup.org,Seed,Asia,India,Education,Start your tech career and pay after 1st salary
Gabbi,begabbi.com,Seed,North America,Oregon,Healthcare,Increasing early breast cancer detection
